"Dragon Magic","Norton, Andre"
"Steel Magic","Norton, Andre"
"Atlantis Endgame","Norton, Andre & Smith, Sherwood"
"Silver May Tarnish","Norton, Andre & McConchie, Lyn"
"Knight or Knave","Norton, Andre & Miller, Sasha"
"Ciara's Song","Norton, Andre & McConchie, Lyn"
"Wraiths of Time","Norton, Andre"
"Storms of Victory","Norton, Andre & Griffin, Pauline M."
"Wind in the Stone","Norton, Andre"
"Janus (omnibus)","Norton, Andre"
"Mirror of Destiny","Norton, Andre"
"Elvenbane","Norton, Andre & Lackey, Mercedes"
"Mark of the Cat, The","Norton, Andre"
"Merlin's Mirror","Norton, Andre"
"Crystal Gryphon, The","Norton, Andre"
"Sargasso of Space","Norton, Andre"
"Moon Mirror","Norton, Andre"
"Year of the Unicorn","Norton, Andre"
"Jargoon Pard, The","Norton, Andre"
"Key of the Keplian, The","Norton, Andre & McConchie, Lyn"
"Lavender-Green Magic","Norton, Andre"
"Plague Ship","Norton, Andre"
"Star Ka'at World","Norton, Andre & Madlee, Dorothy"
"Crossroads of Time, The","Norton, Andre"
"Space Pioneers","Norton, Andre"
"Yurth burden","Norton, Andre"
"Dare to Go A-Hunting","Norton, Andre"
"Songsmith","Norton, Andre & Crispin, A.C."
"Horn Crown","Norton, Andre"
"Dragon Blade","Norton, Andre & Miller, Sasha"
"Spell of the Witch World","Norton, Andre"
"Search for the Star Stones","Norton, Andre"
"Game of Stars and Comets, The","Norton, Andre"
"Beast Master","Norton, Andre"
"Ralestone Luck","Norton, Andre"
"Sorceress Of The Witch World","Norton, Andre"
"Flight of Vengeance","Norton, Andre & Griffin, Pauline M. & Schaub, Mary H."
"Witch World","Norton, Andre"
"Uncharted Stars","Norton, Andre"
"Rebel Spurs","Norton, Andre"
"Gryphon's Eyrie","Norton, Andre & Crispin, A.C."
"Lore of the Witch World","Norton, Andre"
"Red Hart Magic","Norton, Andre"
"Forerunner Foray","Norton, Andre"
"Victory on Janus","Norton, Andre"
"Night of Masks","Norton, Andre"
"Star Flight (omnibus)","Norton, Andre"
"Galactic Derelict","Norton, Andre"
"Lord Of Thunder","Norton, Andre"
"Beast Master's Ark","Norton, Andre & McConchie, Lyn"
"Leopard in Exile","Norton, Andre & Edghill, Rosemary"
"Gryphon in Glory","Norton, Andre"
"Derelict For Trade","Norton, Andre & Smith, Sherwood"
"Beast Master's Circus","Norton, Andre & McConchie, Lyn"
"Mind For Trade, A","Norton, Andre & Smith, Sherwood"
"Operation Time Search","Norton, Andre"
"X Factor, The","Norton, Andre"
"To The King A Daughter","Norton, Andre & Miller, Sasha"
"Defiant Agents, The","Norton, Andre"
"Catfantastic II","Norton, Andre & Greenberg, Martin H."
"Three Against The Witch World","Norton, Andre"
"Ice Crown","Norton, Andre"
"Dread Companion","Norton, Andre"
"Dark Piper","Norton, Andre"
"Fur Magic","Norton, Andre"
"Elvenblood","Norton, Andre & Lackey, Mercedes"
"Stars are Ours, The","Norton, Andre"
"Shadow of Albion, The","Norton, Andre & Edghill, Rosemary"
"Flight in Yiktor","Norton, Andre"
"Star Hunter","Norton, Andre"
"Octagon Magic","Norton, Andre"
"Web of the Witch World","Norton, Andre"
"Firehand","Norton, Andre & Griffin, Pauline M."
"Gods and Androids","Norton, Andre"
"Zarsthor's Bane","Norton, Andre"
"Magestone, The","Norton, Andre & Schaub, Mary H."
"House of Shadows","Norton, Andre & Miller, Phyllis"
"Beast Master's Quest","Norton, Andre & McConchie, Lyn"
"Key Out of Time","Norton, Andre"
"Warding of Witch World, The","Norton, Andre"
"Voodoo Planet","Norton, Andre"
"Time Traders II","Norton, Andre"
"Huon of the Horn","Norton, Andre"
"Trey of Swords","Norton, Andre"
"Ware Hawk","Norton, Andre"
"Opal-Eyed Fan, The","Norton, Andre"
"Zero Stone, The","Norton, Andre"
"Exiles of the Stars","Norton, Andre"
"Echoes In Time","Norton, Andre & Smith, Sherwood"
"No Night Without Stars","Norton, Andre"
"On Wings of Magic","Norton, Andre & Matthews, Patricia & Miller, Sasha"
"Star Born","Norton, Andre"
"Postmarked the Stars","Norton, Andre"
"Star Ka'at","Norton, Andre & Madlee, Dorothy"
"Redline the Stars","Norton, Andre & Griffin, Pauline M."
"Crosstime","Norton, Andre"
"Cat's Eye","Norton, Andre"
"Moon of Three Rings","Norton, Andre"
"Elvenborn","Norton, Andre & Lackey, Mercedes"
"Gate of the Cat, The","Norton, Andre"
"Duke's Ballad, The","Norton, Andre & McConchie, Lyn"
"Star Soldiers","Norton, Andre"
"Quest Crosstime","Norton, Andre"
"Hands of Lyr, The","Norton, Andre"
"Crown Disowned, A","Norton, Andre & Miller, Sasha"
"From The Sea To The Stars","Norton, Andre"
"People of the Crater, The","Norton, Andre"
"Warlock (omnibus)","Norton, Andre"
"Secret of the Lost Race","Norton, Andre"
"Warlock Of The Witch World","Norton, Andre"
"Star Ka'at's and the Plant People","Norton, Andre & Madlee, Dorothy"
"Storm Over Warlock","Norton, Andre"
"Breed To Come","Norton, Andre"
"Three Hands for Scorpio","Norton, Andre"
"Sneeze on Sunday","Norton, Andre & Hogarth, Grace Allen"
"Quag Keep","Norton, Andre"
"Brother To Shadows","Norton, Andre"
"Here Abide Monsters","Norton, Andre"
"Golden Trillium","Norton, Andre"
"Dark Companion (omnibus)","Norton, Andre"
"Sioux Spaceman, The","Norton, Andre"
"Ordeal in Otherwhere","Norton, Andre"
"Darkness & Dawn (omnibus)","Norton, Andre"
"Seven Spells to Sunday","Norton, Andre & Miller, Phyllis"
"Daybreak 2250 AD (Star Man's Son)","Norton, Andre"
"Sea Siege","Norton, Andre"
"Judgment on Janus","Norton, Andre"
"Stargate","Norton, Andre"
"Elvenbane","Norton, Andre & Lackey, Mercedes"
"Space Service","Norton, Andre"
"Space Police","Norton, Andre"
"Circle Game","Atwood, Margaret"
"Moral Disorder","Atwood, Margaret"
"Murder in the Dark","Atwood, Margaret"
"MaddAddam","Atwood, Margaret"
"Bodily Harm","Atwood, Margaret"
"Bluebeard's Egg","Atwood, Margaret"
"Tent, The","Atwood, Margaret"
"I Dream of Zenia With the Bright Red Teeth","Atwood, Margaret"
"MaddAddam Trilogy, The","Atwood, Margaret"
"Year of the Flood, The","Atwood, Margaret"
"Penelopiad, The","Atwood, Margaret"
"Alias Grace","Atwood, Margaret"
"Lady Oracle","Atwood, Margaret"
"Robber Bride, The","Atwood, Margaret"
"Oryx and Crake","Atwood, Margaret"
"Good Bones","Atwood, Margaret"
"Blind Assassin, The","Atwood, Margaret"
"Payback: Debt and the Shadow Side of Success","Atwood, Margaret"
"Dancing Girls and Other Stories","Atwood, Margaret"
"Life Before Man","Atwood, Margaret"
"Handmaid's Tale, The","Atwood, Margaret"
"Surfacing","Atwood, Margaret"
"Edible Woman, The","Atwood, Margaret"
"Cat's Eye","Atwood, Margaret"
"Politician","Anthony, Piers"
"With a Tangled Skein","Anthony, Piers"
"Neq the Sword","Anthony, Piers"
"Executive","Anthony, Piers"
"Juxtaposition","Anthony, Piers"
"Var the Stick","Anthony, Piers"
"On A Pale Horse","Anthony, Piers"
"Blue Adept","Anthony, Piers"
"Refugee","Anthony, Piers"
"Wielding a Red Sword","Anthony, Piers"
"Mercenary","Anthony, Piers"
"Iron Maiden, The","Anthony, Piers"
"Phaze Doubt","Anthony, Piers"
"Unicorn Point","Anthony, Piers"
"Being A Green Mother","Anthony, Piers"
"Caterpillar's Question, The","Anthony, Piers & Farmer, Philip Jose"
